Village,Copper - Sufficient,Copper - Deficient,Boron - Sufficient,Boron - Deficient,S - Sufficient,S - Deficient,Fe - Sufficient,Fe - Deficient,Zn - Sufficient,Zn - Deficient,Mn - Sufficient,Mn - Deficient
Brahmapuram,9,5,8,6,12,2,1,13,6,8,0,14
Thenpalli,4,1,1,4,3,2,0,5,3,2,0,5
Elayanellore,2,2,1,3,3,1,0,4,0,4,1,3
Karnampattu,4,3,1,6,6,1,1,6,1,6,0,7
Sevur,5,1,1,5,6,0,0,6,4,2,0,6
Serkadu,4,1,3,2,5,0,0,5,3,2,0,5
Kandipedu,3,0,2,1,2,1,0,3,2,1,0,3
Sripadanallore,3,0,3,0,3,0,2,1,3,0,0,3
Madandakuppam,9,2,7,4,10,1,0,11,6,5,1,10
Kondareddipalli,7,0,3,4,6,1,1,6,3,4,0,7
Veppalai,3,0,1,2,2,1,0,3,2,1,0,3
Ponnai,13,2,7,8,13,2,0,15,14,1,3,12
Keeraisathu,6,0,2,4,6,0,0,6,4,2,1,5
Gollapalli,4,1,1,4,5,0,0,5,5,0,0,5
Singarikoil,2,0,0,2,2,0,0,2,1,1,0,2
Adukkamparai,3,0,1,2,2,1,0,3,2,1,0,3
Munjurpattu,3,0,1,2,3,0,0,3,3,0,0,3
Pennathur - ,90,1,16,76,55,37,24,68,42,50,12,80
Kanikkaniyan,4,0,0,4,4,0,0,4,1,3,0,4
Thuttikadu,5,1,0,6,4,2,0,6,2,4,0,6
Thellai,2,0,0,2,1,1,0,2,1,1,0,2
Palampakkam,21,3,3,21,24,0,0,24,19,5,0,24
Veppampattu,3,1,0,4,2,2,0,4,1,3,0,4
Sathumadurai,1,1,0,2,2,0,0,2,1,1,0,2
Palathuvannan,3,1,0,4,1,3,0,4,2,2,0,4
Sathupalaiyam,108,11,29,90,85,34,2,117,39,80,1,118
Vallam,105,10,27,88,102,13,1,114,9,106,1,114
Kil Arasampattu,118,0,3,115,105,13,0,118,56,62,8,110
Kaniyambadi (CT),16,0,3,13,13,3,0,16,6,10,0,16
Kathalampattu (R.F.),2,0,0,2,2,0,0,2,2,0,0,2
Kathalampattu,99,13,2,110,104,8,0,112,59,53,2,110
Kammasamudram,99,13,36,76,62,50,71,41,63,49,0,112
Selamanatham,5,0,1,4,4,1,0,5,0,5,0,5
Mothakkal,7,1,2,6,5,3,0,8,2,6,0,8
Kattuputhur,12,2,1,13,9,5,0,14,11,3,0,14
Sholavaram,6,0,0,6,5,1,0,6,6,0,0,6
Sirukalambur,1,0,0,1,0,1,0,1,0,1,0,1
Virupakshipuram - ,24,0,7,17,22,2,0,24,16,8,0,24
Edaiyansathu ,1,0,0,1,1,0,0,1,1,0,0,1
Thuttipattu,2,0,0,2,2,0,0,2,2,0,0,2
Mettupalayam,1,0,0,1,0,1,0,1,1,0,0,1
Kaniyambadi (R.F.),1,0,0,1,1,0,0,1,1,0,0,1
Kilpallipattu,3,0,1,2,3,0,0,3,2,1,0,3
Panamadangi,124,3,75,53,54,74,37,91,51,77,17,111
Ammanankuppam,100,4,25,78,80,24,77,27,83,21,0,104
Pasumathur,142,7,17,132,52,97,55,94,39,110,9,140
Panamadagi (R.F),2,0,2,0,0,2,2,0,2,0,2,0
Kilmuttukur,87,14,25,77,25,77,19,83,50,52,31,71
Arumbakkam,111,2,19,95,107,7,6,108,45,69,0,114
Angarankuppam,98,1,15,85,26,74,0,100,54,46,0,100
Velampattu,102,11,8,105,34,79,2,111,51,62,0,113
Bomminayakkanpalayam,108,2,15,97,13,99,0,112,56,56,0,112
Veppur,6,0,1,5,3,3,0,6,1,5,0,6
Sethuvandai,6,0,0,6,5,1,1,5,2,4,0,6
Kalambattu,4,0,1,3,0,4,1,3,2,2,0,4
Annangudi,3,1,2,2,0,4,0,4,1,3,0,4
Thondanthulasi,4,0,1,3,0,4,0,4,1,3,0,4
Chenji,12,4,1,15,9,7,3,13,9,7,0,15
Maliyapattu,5,0,1,4,0,5,0,5,5,0,0,5
Latteri,13,1,1,14,6,9,1,14,9,6,0,15
Devarishikuppam,17,5,6,16,19,3,1,21,8,14,0,22
Nagal,11,2,3,10,11,2,0,13,4,9,0,13
Netteri,6,0,0,6,4,2,2,4,3,3,0,6
Sanan kuppam,4,1,1,4,4,1,0,5,3,2,0,5
