Village,Copper - Sufficient,Copper - Deficient,Boron - Sufficient,Boron - Deficient,S - Sufficient,S - Deficient,Fe - Sufficient,Fe - Deficient,Zn - Sufficient,Zn - Deficient,Mn - Sufficient,Mn - Deficient
Adiannamalai,142,0,45,94,14,123,131,11,0,141,0,142
Tiruvannamalai,1,0,1,0,1,0,1,0,0,1,0,1
Vengikkal (CT),1,0,0,1,0,1,1,0,0,1,0,1
Udayanandal,1,0,1,0,0,1,1,0,0,1,0,1
Sammandanur,1,0,0,1,0,1,1,0,0,1,0,1
Vaniyanthangal,1,0,1,0,0,1,1,0,0,1,0,1
Malappambadi,1,0,0,1,0,1,1,0,0,1,0,1
Kilnachipattu (S.O.),1,0,1,0,0,1,1,0,0,1,0,1
Nochimalai,1,0,0,1,0,1,1,0,0,1,0,1
Adaiyur,1,0,0,1,0,1,1,0,0,1,0,1
Chinnakangiyanur,1,0,1,0,0,1,1,0,0,1,0,1
Kilnathur,1,0,0,1,0,1,1,0,0,1,0,1
Pallikondapattu,1,0,0,1,1,0,1,0,0,1,0,1
Nallanpillaipetral,1,0,0,1,0,1,1,0,0,1,0,1
Su.Kilnachipattu,1,0,0,1,0,1,1,0,0,1,0,1
Thenmathur,1,0,0,1,0,1,1,0,0,1,0,1
Palliyampattu,1,0,1,0,0,1,1,0,0,1,0,1
Kallanai,68,0,16,52,28,40,67,1,0,68,0,68
Nariyapattu,4,0,2,2,0,4,2,2,2,2,0,4
Navambattu,3,0,2,1,0,3,1,2,1,2,0,3
Arasudaiyampattu,2,0,1,1,0,2,2,0,1,1,0,2
Melputtiyandal,2,0,2,0,0,2,1,1,0,2,0,2
Kattampoondi,3,0,2,1,0,3,3,0,2,1,0,3
Pavipattu,3,0,1,2,0,3,1,2,1,2,0,3
Meyyur,3,0,2,1,0,3,2,1,0,3,0,3
Nachianandal,3,0,2,1,0,3,2,1,0,3,0,3
Aradapattu,1,0,1,0,1,0,1,0,0,1,0,1
Thiruvarangam Valavetti,3,0,1,2,1,2,3,0,1,2,0,3
Pavithiram,1,0,1,0,0,1,1,0,0,1,0,1
Su.Andapttu,1,0,1,0,1,0,1,0,0,1,0,1
Su.Valavetti,4,0,3,1,1,3,4,0,1,3,0,4
Tirukalur Valavetti,5,0,2,3,4,1,5,0,1,4,0,5
Nayarpattu,1,0,1,0,1,0,1,0,0,1,0,1
Kalleri,2,0,1,1,1,1,2,0,1,1,0,2
Kolakkudi,4,0,3,1,1,3,4,0,0,4,0,4
Alaganandal,2,0,2,0,1,1,2,0,0,2,0,2
Nedupattu,2,0,1,1,1,1,2,0,0,2,0,2
Kannapandal,3,0,1,2,0,3,3,0,1,2,0,3
Abbupattu,1,0,1,0,0,1,1,0,0,1,0,1
Porkunnam,117,0,48,69,34,83,115,2,22,95,0,117
Kolakkaravadi,117,0,22,96,57,61,118,0,3,115,0,118
Karkonnam,114,0,34,84,33,85,108,10,0,118,0,118
Kovoor,115,0,49,71,49,71,120,0,25,95,0,120
Randam,40,0,3,37,27,13,40,0,0,40,0,40
Namiyandal,61,0,5,56,42,19,61,0,1,60,0,61
Koothala Vadi,54,0,19,34,0,51,54,0,9,45,0,54
Kunnandal,117,0,44,73,0,117,117,0,24,93,0,117
Vadakarimbalore,39,0,5,34,30,9,39,0,1,38,0,39
Vada Pulithiur,117,0,27,90,31,86,30,87,3,114,0,117
Vallivagai,1,0,0,1,0,1,1,0,0,1,0,1
Maniyandal,2,0,0,2,0,2,2,0,0,2,0,2
Thurinjapuram,1,0,1,0,0,1,1,0,0,1,0,1
Sorandal,2,0,0,2,0,2,2,0,0,2,0,2
Seelappandal,1,0,0,1,0,1,1,0,0,1,0,1
Pichandal,1,0,0,1,0,1,1,0,0,1,0,1
Usambadi,1,0,1,0,0,1,1,0,0,1,0,1
Inam Kariyandal,2,0,0,2,0,2,2,0,0,2,0,2
Vengayavellore,2,0,1,1,0,2,2,0,0,2,0,2
Karunthuvambadi,1,0,0,1,0,1,1,0,0,1,0,1
Mallavadi,1,0,0,1,0,1,1,0,0,1,0,1
Tellanandal,2,0,0,2,0,2,2,0,0,2,0,2
Velliyur (KIL),114,0,0,115,87,27,110,5,0,115,1,114
Mavalavadi,103,0,2,101,66,37,102,1,0,103,0,103
Goonambadi,76,0,0,75,49,24,75,1,18,57,0,76
Pappanallur,37,0,0,37,25,12,36,1,33,4,0,37
Ponnur,112,0,0,112,82,30,112,0,0,112,0,112
Nallur,119,0,3,115,102,11,117,2,15,103,0,119
Theyyar,7,0,3,4,6,1,6,1,0,7,0,7
Sri Rangarajapuram,1,0,0,1,0,1,1,0,0,1,0,1
Korakottai,2,0,0,2,1,1,1,1,0,2,0,2
Vedal,2,0,1,1,1,1,2,0,0,2,0,2
Mahamai Thirumani,2,0,1,1,1,1,2,0,0,2,0,2
Arunthodu,2,0,1,1,0,2,2,0,0,2,0,2
Gengampoondi,2,0,2,0,0,2,2,0,1,1,0,2
Kilankunam,2,0,1,1,1,1,1,1,0,2,0,2
Achamangalam,1,0,1,0,0,1,1,0,0,1,0,1
Pancharai,4,0,1,3,3,1,3,1,1,3,0,4
Agarakorakottai,3,0,0,3,1,2,3,0,0,3,0,3
Koothavedu,1,0,1,0,0,1,1,0,0,1,0,1
Sathapoondi,2,0,0,2,0,2,2,0,1,1,0,2
Puthur (KIL),11,0,4,7,6,5,11,0,0,11,0,11
Soraputhur,4,0,4,0,0,4,4,0,1,3,0,4
Japthikaranai,7,0,4,3,2,5,7,0,0,7,0,7
Ramasamudram,2,0,1,1,1,1,2,0,0,2,0,2
Mazhavankaranai,2,0,1,1,1,1,2,0,0,2,0,2
Villivalam (KIL),11,0,4,7,3,7,11,0,0,11,0,11
Nadukuppam,5,0,1,4,1,4,5,0,0,5,0,5
Malaiyur,1,0,1,0,0,1,1,0,0,1,0,1
Kadambai,1,0,1,0,1,0,1,0,1,0,0,1
Urgudi,1,0,0,1,0,1,1,0,0,1,0,1
Desur,7,0,2,5,5,2,7,0,0,7,0,7
Irumbili,1,0,0,1,0,1,1,0,1,0,0,1
Senal,2,0,1,1,1,1,2,0,1,1,0,2
Kilnamandi,3,0,2,1,0,3,3,0,1,2,0,3
Nerkunam,6,0,5,1,4,2,5,1,0,6,0,6
Kunnagampundi,5,0,2,3,1,4,5,0,1,4,0,5
Vadakkupattu,2,0,1,1,0,2,2,0,1,1,0,2
Goodalur,3,0,1,2,1,2,3,0,0,3,0,3
Kodiyalam,1,0,1,0,1,0,1,0,0,1,0,1
Meesanallur,2,0,1,1,1,1,2,0,0,2,0,2
Thellar,4,0,0,3,2,1,4,0,0,4,0,4
Sivanam,3,0,1,2,1,2,3,0,1,2,0,3
Ariyampoondi,2,0,1,1,1,1,2,0,0,2,0,2
Perunkadaputhur,2,0,2,0,0,2,2,0,1,1,0,2
Tirakoil,6,0,2,4,2,4,6,0,0,6,0,6
Vanakkambadi (THEN),5,0,2,3,1,4,5,0,0,5,0,5
Embalam,4,0,1,3,1,3,4,0,1,3,0,4
Sogathur,4,0,1,3,2,2,4,0,1,3,0,4
Eripattu,3,0,2,1,0,3,2,1,0,3,1,2
Jammambattu,4,0,1,3,2,2,4,0,1,3,0,4
Nalleri,2,0,1,1,1,1,2,0,1,1,0,2
Koothampattu,2,0,2,0,0,2,2,0,1,1,0,2
Kandavaratti,2,0,0,2,1,1,2,0,1,1,0,2
Singampoondi,2,0,2,0,0,2,2,0,0,2,1,1
Thakkandarayapuram,2,0,2,0,0,2,1,1,0,2,0,2
Melpathi,2,0,1,1,0,2,2,0,0,2,0,2
Vanakkambadi (VADA),2,0,2,0,0,2,1,1,1,1,0,2
Thenkkarai,2,0,1,1,1,1,2,0,1,1,0,2
Kothandapuram,2,0,1,1,0,2,2,0,0,2,0,2
Chitharugavoor,3,0,2,1,0,3,3,0,1,2,0,3
Thenthinnalur,3,0,1,2,3,0,1,2,0,3,0,3
Bondai,130,0,72,58,81,49,130,0,76,54,14,116
Se.Gudalur,117,0,62,58,69,51,106,14,49,71,2,118
Tharadapattu,128,0,78,51,67,63,125,5,39,91,2,128
Chinniyampettai,122,0,76,48,71,53,122,2,26,98,2,122
Perungolathur,150,0,110,45,105,50,155,0,68,87,1,154
Perungolathur RF,61,0,52,10,54,8,62,0,43,19,2,60
Thanipadi,112,0,69,53,123,0,122,1,123,0,3,120
Kanakkandal,134,0,131,3,132,2,133,1,129,5,8,126
Serapattu,12,0,9,3,12,0,2,10,12,0,6,6
Allappanur,6,0,4,2,6,0,6,0,6,0,1,5
Vanapuram,4,0,4,0,4,0,3,1,4,0,1,3
Maluvambattu,4,0,3,1,4,0,2,2,4,0,0,4
Varagur,12,0,6,6,12,0,2,10,12,0,1,11
Perayampattu,11,0,9,2,11,0,8,3,11,0,0,11
Edathanur,7,0,4,3,7,0,7,0,6,1,1,6
Royandapuram RF,1,0,1,0,1,0,1,0,1,0,0,1
Kambattu,6,0,2,4,6,0,2,4,6,0,1,5
Thenmudiyanur,4,0,1,3,4,0,4,0,4,0,1,3
Vakkilapattu,2,0,1,1,2,0,2,0,2,0,0,2
Reddiapalayam,25,0,25,0,25,0,25,0,25,0,2,23
Melamanjanoor,18,0,11,7,18,0,18,0,11,7,4,14
Olagalapadi,14,0,8,6,14,0,14,0,9,5,1,13
Keelamanjanoor,13,0,8,5,13,0,13,0,9,4,2,11
Thandarampatti,7,0,3,4,7,0,7,0,6,1,0,7
Keelsinipakkam,13,0,5,8,13,0,2,11,13,0,5,8
Melsinipakkam,33,0,18,15,33,0,3,30,33,0,8,25
Kunjalanatham,4,0,3,1,4,0,2,2,4,0,1,3
Radhapuram,9,0,4,5,9,0,9,0,7,2,0,9
Keelravandavandi,4,0,3,1,4,0,4,0,4,0,0,4
Thenkarimbalur,6,0,3,3,6,0,4,2,6,0,0,6
Royandapuram,1,0,1,0,1,0,1,0,1,0,0,1
Beemarapatti,8,0,3,5,8,0,8,0,7,1,0,8
Veppurchekkadi,3,0,3,0,3,0,3,0,3,0,0,3
Semmanpatti,5,0,3,2,5,0,5,0,5,0,1,4
Jambodai,3,0,2,1,3,0,3,0,3,0,1,2
Puthurchekkadi,8,0,3,5,8,0,8,0,6,2,0,8
Melmuthanur,3,0,1,2,3,0,3,0,3,0,1,2
Velur T.,45,0,25,20,45,0,45,0,33,12,4,41
Thiruvadathanur,13,0,8,5,13,0,13,0,8,5,0,13
Narayankuppam,11,0,7,4,11,0,11,0,6,5,0,11
Puduchekkadi,9,0,4,5,9,0,9,0,6,3,1,8
Malayanoorchakkadi,3,0,3,0,3,0,3,0,2,1,0,3
Athipadi,13,0,8,5,13,0,13,0,11,2,0,13
Melpasar,4,0,2,2,4,0,4,0,3,1,0,4
Kilpasar,2,0,1,1,2,0,2,0,1,1,0,2
Se.Andapattu,4,0,4,0,4,0,4,0,4,0,0,4
Mothakkal,3,0,2,1,3,0,3,0,3,0,0,3
Abbunaickenpalayam,5,0,3,2,5,0,5,0,5,0,0,5
Edakkal,99,0,99,0,99,0,99,0,98,1,2,97
Kottaiyur,3,0,3,0,3,0,3,0,3,0,0,3
Sadakuppam,2,0,1,1,2,0,2,0,2,0,0,2
Unnamalaipalayam,4,0,4,0,4,0,4,0,4,0,0,4
Thondamanur,5,0,4,1,5,0,5,0,5,0,0,5
Agarampallipattu,2,0,2,0,2,0,2,0,2,0,1,1
Valavachanur,2,0,2,0,2,0,2,0,2,0,0,2
Sathanur,18,0,9,8,17,0,18,0,6,12,0,18
Melkaripur,9,0,4,5,9,0,9,0,5,4,0,9
Kolundampattu,8,0,5,3,8,0,8,0,5,3,0,8
Keelvanakkambadi,10,0,4,6,10,0,10,0,3,7,0,10
Nedungavadi,7,0,3,4,7,0,7,0,2,5,0,7
Veeranam,7,0,4,3,7,0,7,0,2,5,0,7
C.Gengampattu,124,0,32,93,25,100,122,3,3,122,0,125
Narasinganallur,116,0,52,64,80,37,105,12,9,108,0,117
Vasudevanpattu,70,0,18,52,58,11,51,19,2,68,0,70
Annandal,52,0,4,47,44,7,50,2,3,49,0,52
Unnamalaipalayam,115,0,19,93,67,44,100,13,2,110,0,115
Pudurchengam,123,0,45,75,15,104,100,21,2,119,0,123
Korattambattu,93,0,38,55,24,64,0,93,15,78,0,93
Karapattu,126,0,38,88,38,88,54,72,7,119,0,126
Melmudiyanur,26,0,8,18,7,19,14,12,2,24,0,26
Nandimangalam,34,0,11,23,21,13,17,17,0,34,0,34
Eraiyur,5,0,3,2,2,3,5,0,0,5,0,5
Vadamathur,5,0,3,2,0,5,0,5,1,4,0,5
Melnachipattu,3,0,1,2,0,3,3,0,0,3,0,3
Melpadur,9,0,4,5,0,9,1,8,2,7,0,9
Nathavadi,3,0,1,2,0,3,0,3,0,3,0,3
Nayambadi,35,0,13,22,5,30,15,20,0,35,0,35
Veeranandal,38,0,18,20,7,31,9,29,0,38,0,38
Mashar,27,0,14,13,3,24,27,0,0,27,0,27
Endal,8,0,2,6,0,8,7,1,0,8,0,8
Gulalpadi,2,0,0,2,0,2,0,2,0,2,0,2
Thorapadi,2,0,2,0,0,2,1,1,0,2,0,2
Alliandal,4,0,2,2,0,4,0,4,1,3,0,4
Padiagraharam,4,0,2,2,0,4,0,4,0,4,0,4
Kilpadur,2,0,2,0,0,2,1,1,1,1,0,2
Kottakulam,3,0,1,2,0,3,2,1,0,3,0,3
Perieri,1,0,0,1,0,1,1,0,0,1,0,1
C.Nammiyandal,3,0,1,2,0,3,0,3,0,3,0,3
Oravandavadi,4,0,2,2,0,4,0,4,0,4,0,4
Alathur,4,0,2,2,0,4,1,3,0,4,0,4
Kallarapadi,2,0,2,0,0,2,2,0,0,2,0,2
Aridharimangalam,2,0,0,2,0,2,1,1,0,2,0,2
Kanji,2,0,0,2,0,2,0,2,0,2,0,2
Melapunjai,2,0,1,1,0,2,0,2,0,2,0,2
Voividanthangal,122,0,30,92,64,58,114,8,3,119,0,122
Senthamangalam,2,0,2,0,0,2,2,0,0,2,0,2
Japthikariyandal,4,0,2,2,0,4,4,0,1,3,0,4
Muthanur,2,0,0,2,0,2,0,2,0,2,0,2
Panaiolapadi,2,0,1,1,0,2,1,1,0,2,0,2
Munnuramangalam,2,0,1,1,0,2,0,2,0,2,0,2
Dhamaraipakkam,2,0,1,1,0,2,0,2,0,2,0,2
Pudupattu,30,0,13,17,9,21,1,29,3,27,0,30
Kalkuppam,117,0,64,54,85,33,80,38,15,103,0,117
Thuvinjikuppam,102,1,48,55,40,63,66,37,4,99,0,103
Mukkurambi,117,0,75,43,53,65,65,53,38,80,0,118
Perigaram,142,0,52,86,62,74,61,80,4,136,0,142
Kangiyanoor,138,0,52,85,109,28,138,0,8,129,0,138
Pudupalayam,102,0,40,62,43,59,77,25,22,80,0,102
Kunnathur,101,0,27,74,29,72,77,24,0,101,1,100
Murugapady,99,0,26,73,27,72,99,0,0,99,0,99
Palvathuvendran,3,0,1,2,0,3,3,0,0,3,0,3
Athuvambady,3,0,1,2,1,2,3,0,0,3,0,3
Kelur,3,0,1,2,1,2,3,0,0,3,0,3
Thiappanandhal,3,0,1,2,1,2,3,0,0,3,0,3
Kattipoondy,5,0,2,3,1,4,4,1,0,5,0,5
Sitteri,5,0,3,2,1,4,5,0,0,5,0,5
Vilankuppam,2,0,1,1,1,1,2,0,0,2,0,2
Polur,4,0,2,2,0,4,4,0,0,4,0,4
Edapirai,2,0,2,0,0,2,2,0,1,1,0,2
Somanathaputhur,2,0,1,1,0,2,2,0,0,2,0,2
Renderipattu,2,0,2,0,0,2,2,0,0,2,0,2
Kuruvimalai,1,0,1,0,0,1,1,0,1,0,0,1
Vasur,2,0,2,0,0,2,2,0,1,1,0,2
Nammiyandal (S),2,0,2,0,0,2,2,0,0,2,0,2
Padiyambattu,2,0,1,1,0,2,2,0,1,1,0,2
Tirusoor,2,0,2,0,0,2,2,0,1,1,0,2
Pappampady,2,0,1,1,0,2,2,0,0,2,0,2
Venmani,3,0,2,1,1,2,3,0,0,3,0,3
Athimoor,2,0,2,0,0,2,2,0,0,2,0,2
Kaliyam,1,0,1,0,0,1,1,0,0,1,0,1
Tindivanam,2,0,2,0,1,1,2,0,1,1,0,2
Potharai,2,0,1,1,0,2,2,0,0,2,0,2
Jadatharikuppam,2,0,2,0,0,2,2,0,1,1,0,2
Eluvambady,2,0,0,2,1,1,2,0,1,1,0,2
Mambattu,2,0,1,1,1,1,2,0,0,2,0,2
Solavaram,6,0,6,0,6,0,6,0,6,0,0,6
Morakaniyanur,104,0,104,0,104,0,102,2,103,1,16,88
Semmambadi,100,0,100,0,100,0,100,0,99,1,3,97
Poondi (Mela),100,0,100,0,100,0,99,1,100,0,6,94
Melanur,100,0,100,0,100,0,99,1,88,12,10,90
Ariyapadi,8,0,8,0,6,2,3,5,0,8,8,0
Ayalavadi,96,4,99,1,2,98,1,99,6,94,83,17
Nariyambadi,79,16,0,95,19,76,92,3,1,94,35,60
Anmarudai,8,0,7,1,7,1,3,5,1,7,2,6
Melathangal,92,8,0,100,19,81,3,97,0,100,100,0
Visamangalam,94,6,0,100,18,82,99,1,4,96,54,46
Mosavadi,82,16,4,94,10,88,2,96,4,94,77,21
Thavani,4,0,4,0,4,0,4,0,2,2,1,3
Manickkamangalam,5,0,5,0,5,0,5,0,0,5,1,4
Septankulam,7,0,6,1,7,0,5,2,4,3,4,3
Vadugamangalam,2,0,2,0,2,0,2,0,0,2,0,2
Anaibogi,3,0,3,0,3,0,2,1,0,3,3,0
Nambedu,2,0,2,0,2,0,0,2,0,2,2,0
Melpalayam,3,0,3,0,3,0,2,1,0,3,2,1
Ragunathasamudram,8,0,8,0,8,0,5,3,0,8,3,5
Reddikuppam,22,0,21,1,22,0,20,2,4,18,6,16
Thadinolambai,4,0,4,0,4,0,1,3,0,4,4,0
Mahadevimangalam,5,0,5,0,5,0,3,2,1,4,4,1
Injimedu,5,0,5,0,5,0,5,0,1,4,5,0
Vallan,9,0,9,0,9,0,9,0,0,9,2,7
Erumbur,2,0,2,0,2,0,1,1,0,2,2,0
Vilanallur,3,0,3,0,3,0,3,0,0,3,0,3
Thellarampattu,2,0,2,0,2,0,2,0,0,2,2,0
Alliyandal,3,0,3,0,3,0,1,2,1,2,0,3
Chandirambadi,3,0,3,0,3,0,2,1,0,3,1,2
Kattamangalam,3,0,3,0,3,0,0,3,0,3,2,1
Imapuram,5,0,5,0,5,0,4,1,0,5,0,5
Vayaloor,3,0,3,0,3,0,1,2,2,1,0,3
Matam,3,0,3,0,3,0,3,0,3,0,3,0
Kolappalur,2,0,2,0,2,0,0,2,0,2,2,0
Sudrakatteri,3,0,3,0,3,0,2,1,0,3,3,0
Marakkunam,3,0,3,0,3,0,1,2,0,3,3,0
Gengapuram,5,0,5,0,5,0,1,4,0,5,3,2
Namathodu,4,0,4,0,4,0,2,2,0,4,4,0
Jagannathapuram,2,0,2,0,0,2,2,0,2,0,1,1
Kottupakkam,3,0,3,0,2,1,3,0,3,0,2,1
Kadapanthangal (Then),2,0,2,0,0,2,0,2,2,0,0,2
Kolipuliyur,3,0,3,0,1,2,2,1,3,0,0,3
Kalyanapuram,4,0,4,0,0,4,1,3,4,0,0,4
Konamangalam,1,0,1,0,1,0,0,1,0,1,1,0
Melacheri,2,0,2,0,2,0,2,0,2,0,2,0
Narayanamangalam,2,0,2,0,2,0,1,1,0,2,2,0
Sathamangalam (MEL),1,0,1,0,1,0,1,0,0,1,1,0
Avaniyapuram,7,0,7,0,7,0,1,6,3,4,1,6
Nalladisenai,5,0,5,0,5,0,2,3,4,1,2,3
Poongunam,3,0,3,0,3,0,2,1,2,1,2,1
Solaiarugavur,2,0,2,0,2,0,0,2,2,0,0,2
Endal,2,0,2,0,2,0,2,0,2,0,2,0
Neivanatham,4,0,2,2,1,3,1,3,1,3,0,4
Rajanthangal,72,0,21,51,22,50,64,8,2,70,0,72
Sanipoondi,3,0,1,2,1,2,3,0,0,3,0,3
Avur,117,0,32,85,31,85,73,44,0,117,0,117
Gudalore (Z),2,0,1,1,1,1,2,0,0,2,0,2
Iluppanthangal,51,0,13,37,11,38,36,15,2,48,0,51
Vayalur,3,0,1,2,1,2,2,1,1,2,0,3
Kattumalaiyanur,1,0,1,1,1,1,2,0,0,2,0,2
Seyyaleri,2,0,0,2,0,2,1,1,0,2,0,2
Keeranur,2,0,0,2,2,0,2,0,0,2,0,2
Arumbakkam,2,0,1,1,1,1,2,0,0,2,0,2
Kalingaleri,67,0,19,48,19,48,54,13,0,67,0,67
Neikuppam,2,0,0,2,2,0,1,1,0,2,0,2
Chellankuppam,2,0,0,2,1,1,2,0,0,2,0,2
Gengapattu (NA),2,0,2,0,1,1,2,0,1,1,0,2
Nadalarganandal,4,0,1,3,3,1,4,0,0,4,0,4
Sorappanandal,54,0,16,37,10,44,49,5,13,41,0,54
Konalur,119,0,30,89,34,85,102,17,0,119,0,119
Velanandal,2,0,0,2,2,0,2,0,0,2,0,2
Sorathur,53,3,1,55,2,54,4,52,52,4,1,55
Panniyur,2,0,0,2,0,2,2,0,0,2,0,2
Angunam,2,0,0,2,0,2,1,1,0,2,0,2
Vaippur,3,0,1,2,1,2,2,1,0,3,0,3
Ponnimedu,3,0,0,3,2,1,3,0,0,3,0,3
Kallayyee,64,0,16,48,16,48,5,59,12,52,0,64
Anukkumalai,3,0,1,2,1,2,1,2,0,3,0,3
Agaram,3,0,1,2,1,2,1,2,0,3,0,3
Erpakkam,21,0,15,6,12,9,21,0,4,17,0,21
Vatraputhur,48,0,16,32,23,25,48,0,12,36,0,48
Iyangunnam,57,0,25,32,20,37,57,0,12,45,0,57
Vazhuthalangunnam,120,0,36,84,32,88,114,6,0,120,0,120
Aranji,86,0,22,64,24,62,86,0,0,86,0,86
Kolathur,122,4,5,121,0,126,31,95,108,18,2,124
Kazhikulam,7,0,3,4,3,4,6,1,0,7,0,7
Karampoondi,8,0,4,4,3,5,8,0,1,7,0,8
Kalpoondi,3,0,1,2,0,3,1,2,1,2,0,3
Sirunathur,4,0,3,1,0,4,4,0,0,4,0,4
Kathalampattu,4,0,3,1,0,4,3,1,0,4,0,4
Ganapapuram,9,0,6,3,3,6,7,2,0,9,0,9
Mekalore,13,0,9,4,2,11,11,2,1,12,0,13
Sevarapoondi,9,0,6,3,4,5,9,0,0,9,0,9
Keekaloor,6,0,4,2,1,5,6,0,0,6,0,6
Nariyamangalam,3,0,2,1,0,3,3,0,0,3,0,3
Padagam,121,1,114,12,126,0,109,17,125,1,11,115
Kadalady,142,0,120,23,143,0,143,0,119,24,13,130
Mattavettu,128,0,114,14,119,9,128,0,121,7,20,108
Sholavaram,113,0,112,1,113,0,113,0,85,28,14,99
Poondi,160,12,55,117,110,62,95,77,76,96,2,170
Kettavarampalayam,14,1,6,9,12,3,9,6,11,4,0,15
Kidampalayam,82,44,25,101,59,67,108,18,34,92,14,112
Kampattu,136,1,22,115,43,94,20,117,42,95,106,31
Kalasapakkam,11,0,6,5,10,1,11,0,10,1,0,11
Vilvarayanallur (Mel),90,33,13,110,96,27,23,100,14,109,110,13
Vanniyanur,103,21,12,112,53,71,24,100,17,107,97,27
Padiyamputtu,8,0,4,4,8,0,6,2,8,0,2,6
Vadakarainammiyandal,15,0,5,10,15,0,4,11,12,3,2,13
Sholankuppam (MEL),21,0,9,12,21,0,6,15,21,0,1,20
Seenandal,4,0,0,4,4,0,4,0,0,4,4,0
Gangavaram,9,0,2,7,9,0,7,2,6,3,0,9
Kanthapalayam,3,0,0,3,3,0,2,1,0,3,3,0
Deverayanpalayam,10,0,1,9,10,0,10,0,7,3,3,7
Veeralur,7,0,3,4,7,0,7,0,3,4,4,3
Thenagaram,2,0,1,1,2,0,2,0,2,0,0,2
Elathur,2,0,0,2,2,0,2,0,2,0,0,2
Bannambut,2,0,1,1,2,0,2,0,2,0,0,2
Kilpotharai,2,0,1,1,2,0,2,0,2,0,1,1
Kachirimangalam,1,0,0,1,1,0,1,0,1,0,1,0
Ernamangalam,2,0,1,1,2,0,2,0,2,0,0,2
Kil palur,2,0,1,1,2,0,2,0,2,0,0,2
Piryambut,2,0,2,0,2,0,2,0,2,0,0,2
Mel palur,4,0,1,3,4,0,4,0,4,0,1,3
Melarani,3,0,2,1,3,0,3,0,3,0,0,3
Mathimangalam (Then),1,0,1,0,1,0,1,0,1,0,0,1
Vinnuvampattu,3,0,1,2,3,0,3,0,3,0,1,2
Palan koil,3,0,2,1,3,0,3,0,3,0,0,3
Anaivady,1,0,0,1,1,0,1,0,1,0,0,1
Alangaramangalam,2,0,1,1,2,0,2,0,2,0,0,2
Seettampattu,5,0,2,3,5,0,5,0,5,0,1,4
Pathiyavady,8,0,5,3,8,0,8,0,8,0,1,7
Palliput (Then),3,0,2,1,3,0,2,1,2,1,0,3
Ginganallur,10,0,5,5,10,0,10,0,10,0,0,10
Kalur,3,0,2,1,3,0,3,0,2,1,0,3
Pillur,2,0,2,0,2,0,2,0,2,0,1,1
Arunagirimangalam,3,0,2,1,3,0,3,0,3,0,2,1
Gangalamahadevi,1,0,0,1,1,0,1,0,1,0,1,0
Kappalur,3,0,2,1,3,0,3,0,3,0,1,2
Ladavaram,7,0,2,5,7,0,7,0,7,0,0,7
Aniyalai,5,0,3,2,5,0,5,0,5,0,0,5
Sengaputheri,3,0,3,0,3,0,0,3,3,0,0,3
Puliyur,26,0,6,19,23,2,26,0,8,17,0,26
Nammiyampattu,77,0,2,76,2,76,78,0,1,77,0,77
Kuttakarai,52,0,23,29,13,39,52,0,24,28,0,52
Thumbakkadu,23,0,11,12,6,17,23,0,14,9,0,23
Melchippili,19,0,11,8,7,12,19,0,7,12,0,19
Pattarikadu,7,0,4,3,2,5,7,0,4,3,0,7
Kovilur,73,0,12,62,2,72,74,0,0,74,0,74
Nellivoy,30,0,1,28,28,1,30,0,1,29,0,30
Erukambattu,21,0,1,20,14,7,21,0,5,16,0,21
Perumuttam,20,0,3,17,6,14,20,0,2,18,0,20
Melthattiyapattu,2,0,0,2,1,1,2,0,0,2,0,2
Kilthattiyapattu,6,0,4,2,1,5,6,0,0,6,0,6
Mandaparai,4,0,3,1,4,0,4,0,0,4,0,4
Pudupattu,3,0,2,1,3,0,3,0,0,3,0,3
Odamangalam,2,0,1,1,2,0,2,0,0,2,0,2
Bandirev,2,0,2,0,2,0,2,0,1,1,0,2
Chinnakilpattu,2,0,2,0,1,1,2,0,0,2,0,2
Athipattu,1,0,1,0,0,1,1,0,0,1,0,1
Padapanjamarathur,1,0,1,0,0,1,1,0,0,1,0,1
Melsilambadi,1,0,0,1,1,0,1,0,1,0,0,1
Erumaiyanur,1,0,0,1,0,1,1,0,0,1,0,1
Kallathur,1,0,1,0,1,0,1,0,0,1,0,1
Urgoundanur,1,0,1,0,1,0,1,0,0,1,0,1
Kilaiyur,2,0,2,0,1,1,1,1,1,1,0,2
Melpattu,2,0,1,1,1,1,2,0,0,2,0,2
Kilpattu,1,0,1,0,1,0,1,0,0,1,0,1
Puliyankuppam,3,0,2,1,0,3,3,0,0,3,0,3
Eriyur,4,0,1,3,1,3,4,0,0,4,0,4
Kizkanavayur,3,0,2,1,2,1,3,0,0,3,0,3
Senbagathope,3,0,1,2,1,2,3,0,0,3,0,3
Seengadu,3,0,2,1,2,1,3,0,0,3,0,3
Kanamalai,3,0,1,2,0,3,3,0,0,3,0,3
Amirdee,3,0,1,2,1,2,3,0,0,3,0,3
Neepalampattu,3,0,1,2,0,3,3,0,0,3,0,3
Maligaipattu,49,0,47,2,49,0,42,7,49,0,0,49
Thozhupedu,98,0,0,102,45,57,53,49,63,39,56,46
Periyakoil,63,0,28,36,43,21,45,19,39,25,22,42
Duli,80,0,26,56,55,27,56,26,63,19,39,43
Parasur,99,0,1,98,45,54,73,26,62,37,83,16
Mukkur,115,0,9,106,91,24,12,103,106,9,65,50
